,id_reserva,id_cliente,nombre,apellido,mail,competencia,fecha_reserva,inicio_estancia,final_estancia,id_hotel,nombre_hotel,valoración,ciudad,precio_noche
0,40c4cb55-d1f5-407b-832f-4756b8ff77b4,6ec4d7d2-e382-47cc-94f6-c647577d4035,Maite,Calatayud,maite.calatayud@example.com,False,2025-02-09,2025-03-01,2025-03-02,1,Hotel Monte Verde,1.0,Madrid,276.61238095238093
1,f2ce8df5-7844-43e1-8c0f-97ce7a208f21,aed17fe8-eb18-4f69-bf08-df1afdc339c3,Tecla,Bonet,tecla.bonet@example.com,False,2025-02-08,2025-03-01,2025-03-02,2,Hotel Brisas del Mar,5.0,Madrid,275.2259210526316
2,57d4515a-447d-4067-afcb-9bdcf4e4e915,710a2fbb-264f-426a-aa66-f8fffd146a2d,Amílcar,Andrés,amílcar.andrés@example.com,False,2025-02-02,2025-03-01,2025-03-02,3,Hotel Camino del Sol,1.0,Madrid,269.99844357976656
3,ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,df42ae3d-0b9b-4c06-b22e-939323833ef8,Joan,Vazquez,joan.vazquez@example.com,False,2025-02-08,2025-03-01,2025-03-02,4,Hotel Puerta del Cielo,5.0,Madrid,280.15124282982794
4,99c3dc4f-663c-45f7-849a-ac9313f3746a,a16a9d83-6888-4947-a7ab-ed41203e347c,Chelo,Flor,chelo.flor@example.com,False,2025-02-09,2025-03-01,2025-03-02,5,Hotel Encanto Real,1.0,Madrid,278.24399606299215
5,a5da0906-0fe5-4c30-b193-863df67a7b84,4b789497-8da4-4962-b0fa-070556648ed1,Dolores,Lobo,dolores.lobo@example.com,False,2025-02-10,2025-03-01,2025-03-02,6,Palacio del Sol,4.0,Madrid,282.4921499013806
6,3eca014e-f122-41d7-9dd3-b984b9153d57,dbaadb0e-a0ff-436e-9b10-c697fb90b720,Noé,Lobo,noé.lobo@example.com,False,2025-02-02,2025-03-01,2025-03-02,7,Hotel Jardines del Rey,3.0,Madrid,272.4023353293413
7,8a68fb77-8798-4902-a92d-642ea5e47083,26ca67cd-3762-4f90-9372-c5f3d49df733,Omar,Lamas,omar.lamas@example.com,False,2025-02-10,2025-03-01,2025-03-02,8,Hotel Las Estrellas,4.0,Madrid,271.7063529411765
8,5e3de36b-3d2f-4cef-98d3-df826c56a4b1,a263c6e8-96af-4720-96f0-04cfe51116c6,Ágata,Pinedo,ágata.pinedo@example.com,False,2025-02-01,2025-03-01,2025-03-02,9,Gran Hotel Madrid,2.0,Madrid,264.9671650485437
9,2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,b9cea054-2a9a-4772-bc62-feddbd73ea8a,Julie,Baños,julie.baños@example.com,False,2025-02-01,2025-03-01,2025-03-02,10,Hotel Torre Dorada,3.0,Madrid,272.7331755424063
10,96a3727c-99fb-4ae0-a6c3-886504499ec2,7164885d-7481-40cc-9aa7-025264d00798,Javier,Mancebo,javier.mancebo@example.com,False,2025-02-12,2025-03-01,2025-03-02,11,Hotel Palacio Imperial,2.0,Madrid,272.24151515151516
11,18fa5887-c155-4064-ba8d-3b2948dd348b,7c8a9a34-0fb9-4bab-bc19-8ab715471fad,Rita,Guerrero,rita.guerrero@example.com,False,2025-02-11,2025-03-01,2025-03-02,3,Hotel Camino del Sol,3.0,Madrid,269.99844357976656
12,9880f3ea-a29d-4acd-9fe1-96df1ffa46bd,38949903-64ff-48df-a57c-b589d98cc372,Ricardo,Lobo,ricardo.lobo@example.com,False,2025-02-06,2025-03-01,2025-03-02,12,Hotel Luz de Madrid,3.0,Madrid,269.9356074766355
13,22a3608a-1de2-40c7-8e2a-d22daf77390f,8d24ffd5-1a06-4991-8d0b-143305a376ad,Perlita,Patiño,perlita.patiño@example.com,False,2025-02-02,2025-03-01,2025-03-02,5,Hotel Encanto Real,1.0,Madrid,278.24399606299215
14,68b36da9-eeaa-4c31-91a8-d34fcc3956c8,09323025-a5a9-4b54-81e4-430591596518,Pedro,Gallego,pedro.gallego@example.com,False,2025-02-09,2025-03-01,2025-03-02,13,Hotel Los Almendros,5.0,Madrid,273.7629755178908
15,b92dbe7c-4660-4e4c-9224-47cae0152bf9,57bd08da-f2f2-422b-b6e5-77a624132793,Judith,Bellido,judith.bellido@example.com,False,2025-02-08,2025-03-01,2025-03-02,11,Hotel Palacio Imperial,5.0,Madrid,272.24151515151516
16,9b16fc42-a7c6-4db9-98c7-30dbf2bb72b3,614c4625-81ae-4cb8-be62-beef3ba967bb,Francisco Javier,Hierro,francisco javier.hierro@example.com,False,2025-02-02,2025-03-01,2025-03-02,14,Hotel Sol y Luna,1.0,Madrid,267.93135869565214
17,65fcc15f-f4c6-492a-b191-f180ae314bea,3c648062-c102-4ad6-85aa-70cc80758b32,Reynaldo,Lerma,reynaldo.lerma@example.com,False,2025-02-12,2025-03-01,2025-03-02,1,Hotel Monte Verde,1.0,Madrid,276.61238095238093
18,8a5b02f8-caa9-4917-a50d-a122c74a5c6d,07cde2c9-6e63-43d1-bff0-f57d76fb0af2,Felicidad,Gimenez,felicidad.gimenez@example.com,False,2025-02-09,2025-03-01,2025-03-02,15,Hotel Mirador Real,5.0,Madrid,273.2852741020794
19,24f9a853-2cef-4fb7-8182-d4f347c772d7,90aedc6a-5f21-4a25-9e55-b6552a657437,Pía,Barba,pía.barba@example.com,False,2025-02-03,2025-03-01,2025-03-02,4,Hotel Puerta del Cielo,5.0,Madrid,280.15124282982794
20,345b493b-5fcb-476c-940b-cce20444d64e,69b56d4e-60b6-41f5-b320-1ac4200d8bfb,Amílcar,Moles,amílcar.moles@example.com,False,2025-02-05,2025-03-01,2025-03-02,8,Hotel Las Estrellas,5.0,Madrid,271.7063529411765
21,e9fc009e-6bbd-49a9-aaa1-499fbe5b7036,e4a2670a-0893-4c1c-bb51-b168107d5edc,Blas,Galván,blas.galván@example.com,False,2025-02-11,2025-03-01,2025-03-02,1,Hotel Monte Verde,4.0,Madrid,276.61238095238093
22,91569bdd-8430-4537-8245-6ca66e5c95ed,1bee19cf-e343-4b47-9d7b-2d72ea7fd7c8,Claudia,Miranda,claudia.miranda@example.com,False,2025-02-03,2025-03-01,2025-03-02,4,Hotel Puerta del Cielo,2.0,Madrid,280.15124282982794
23,2713abaf-e02b-4e4b-9897-a6b9cd4862b5,790f974c-32cd-4a48-8d53-4e5b533aa339,Fernanda,Segarra,fernanda.segarra@example.com,False,2025-02-02,2025-03-01,2025-03-02,16,Hotel Rincón Sereno,1.0,Madrid,277.31882352941176
24,56aa252f-8c76-4712-a8d8-cfa844b5711a,aae14664-a527-41a9-93ae-cf5b636d7dd0,Emilio,Huerta,emilio.huerta@example.com,False,2025-02-09,2025-03-01,2025-03-02,17,Hotel Vista Alegre,4.0,Madrid,279.80214145383104
25,67cc0893-51de-461e-bdf3-72beb87d4672,73198244-7196-49fc-aa86-d84efcb18336,Bárbara,Jódar,bárbara.jódar@example.com,False,2025-02-09,2025-03-01,2025-03-02,13,Hotel Los Almendros,2.0,Madrid,273.7629755178908
26,728efa5a-8a5a-4e53-8b2b-349c4fcab5d9,05cc4ab5-046c-4060-accd-e2e52ad83aa5,Emiliano,Vergara,emiliano.vergara@example.com,False,2025-02-06,2025-03-01,2025-03-02,12,Hotel Luz de Madrid,3.0,Madrid,269.9356074766355
27,f4b3e94a-2476-4923-953d-1f76ad90b520,afa28bc0-9dde-436c-bf88-48c189921a80,Marisol,Arévalo,marisol.arévalo@example.com,False,2025-02-11,2025-03-01,2025-03-02,18,Hotel Costa Azul,2.0,Madrid,284.282962962963
28,166f113f-64cf-408d-b1c3-30ef155f8049,d0de4a2b-eb08-4dc6-aa8d-1efd2f007539,Ezequiel,Cuesta,ezequiel.cuesta@example.com,False,2025-02-10,2025-03-01,2025-03-02,18,Hotel Costa Azul,5.0,Madrid,284.282962962963
29,b4ec52c7-ac8d-4c68-93f2-56f80786978c,bb7d2b8a-223a-4da2-bf9f-4fc0f1330ee5,Telmo,Bartolomé,telmo.bartolomé@example.com,False,2025-02-05,2025-03-01,2025-03-02,9,Gran Hotel Madrid,2.0,Madrid,264.9671650485437
30,bec6c4c5-e6bf-4115-98d2-9c2f1161b77d,1f6fc80b-67a9-42ba-8d47-c68d67907f65,Débora,Solé,débora.solé@example.com,False,2025-02-07,2025-03-01,2025-03-02,5,Hotel Encanto Real,5.0,Madrid,278.24399606299215
31,aca3e915-cf8f-4ee5-b921-f23f909f602b,a4cd7cd3-2e7e-4402-80c3-965ded3c7e3f,Darío,Lasa,darío.lasa@example.com,False,2025-02-10,2025-03-01,2025-03-02,10,Hotel Torre Dorada,5.0,Madrid,272.7331755424063
32,47f91472-4a34-4e03-9cd2-64bbf695dcdd,9f63268b-863e-49f4-ba27-58688640d1a1,Fausto,Santiago,fausto.santiago@example.com,False,2025-02-01,2025-03-01,2025-03-02,6,Palacio del Sol,4.0,Madrid,282.4921499013806
33,4d0ca33e-6881-4eaa-8c32-caf6273e468b,efc29d88-089c-41b4-b786-94b2077b9fd9,Lorenza,Lago,lorenza.lago@example.com,False,2025-02-12,2025-03-01,2025-03-02,9,Gran Hotel Madrid,1.0,Madrid,264.9671650485437
34,f6149a73-99ec-46f9-ad92-c4174a564beb,e3c9c0f8-dca8-420e-b5d4-b01ca6bd0f5e,Anunciación,Flor,anunciación.flor@example.com,False,2025-02-02,2025-03-01,2025-03-02,11,Hotel Palacio Imperial,2.0,Madrid,272.24151515151516
35,25efcc1f-d69a-422f-a887-3341d57c6f09,0fc7635e-821d-4595-ac98-65cfa4fd044f,María Belén,Cuéllar,maría belén.cuéllar@example.com,False,2025-02-07,2025-03-01,2025-03-02,5,Hotel Encanto Real,4.0,Madrid,278.24399606299215
36,5e53a3e0-ed87-48e8-9742-891fe94d1025,8fb31222-2f86-4158-97f4-18c4cab76ded,Amaya,Aliaga,amaya.aliaga@example.com,False,2025-02-02,2025-03-01,2025-03-02,3,Hotel Camino del Sol,1.0,Madrid,269.99844357976656
37,32aa8648-0f85-4405-86bd-ffe32c5bc3eb,15e8bd57-2c78-4289-a8f4-ae0b80337457,Jose Angel,Bermúdez,jose angel.bermúdez@example.com,False,2025-02-02,2025-03-01,2025-03-02,16,Hotel Rincón Sereno,2.0,Madrid,277.31882352941176
38,b8fc310e-88a1-41eb-abf1-f772cf208fda,607a8129-8c02-4641-a520-b9a04a440753,Berta,Casas,berta.casas@example.com,False,2025-02-02,2025-03-01,2025-03-02,12,Hotel Luz de Madrid,3.0,Madrid,269.9356074766355
